time,location,new_id
13:53,fruit,1.4
13:53,spices,1.4
13:54,checkout,1.6
13:54,dairy,4.6
13:54,drinks,1.8
13:54,fruit,1.8
13:54,spices,2.0
13:55,checkout,1.4
13:55,dairy,4.2
13:55,drinks,2.2
13:55,fruit,2.4
13:55,spices,2.6
13:56,checkout,2.6
13:56,dairy,4.2
13:56,drinks,1.6
13:56,fruit,3.4
13:56,spices,1.8
13:57,checkout,1.4
13:57,dairy,4.2
13:57,drinks,2.2
13:57,fruit,3.2
13:57,spices,1.6
13:58,checkout,1.6
13:58,dairy,5.2
13:58,drinks,2.2
13:58,fruit,2.8
13:58,spices,1.6
13:59,checkout,2.0
13:59,dairy,5.0
13:59,drinks,1.2
13:59,fruit,3.0
13:59,spices,2.2
14:00,checkout,1.4
14:00,dairy,5.0
14:00,drinks,1.2
14:00,fruit,3.8
14:00,spices,1.6
14:01,checkout,1.4
14:01,dairy,4.8
14:01,drinks,1.8
14:01,fruit,2.6
14:01,spices,2.0
14:02,checkout,2.4
14:02,dairy,3.8
14:02,drinks,2.0
14:02,fruit,3.0
14:02,spices,1.2
14:03,checkout,1.8
14:03,dairy,3.2
14:03,drinks,2.4
14:03,fruit,2.2
14:03,spices,1.4
14:04,checkout,1.0
14:04,dairy,4.2
14:04,drinks,2.0
14:04,fruit,2.4
14:04,spices,1.4
14:05,checkout,2.0
14:05,dairy,3.4
14:05,drinks,1.6
14:05,fruit,2.2
14:05,spices,2.2
14:06,checkout,1.0
14:06,dairy,4.2
14:06,drinks,2.2
14:06,fruit,2.4
14:06,spices,1.2
14:07,checkout,1.8
14:07,dairy,3.6
14:07,drinks,2.2
14:07,fruit,2.6
14:07,spices,1.2
14:08,checkout,2.6
14:08,dairy,3.8
14:08,drinks,1.8
14:08,fruit,2.2
14:08,spices,1.0
14:09,checkout,1.6
14:09,dairy,4.0
14:09,drinks,1.8
14:09,fruit,2.0
14:09,spices,1.6
14:10,checkout,1.0
14:10,dairy,4.4
14:10,drinks,2.0
14:10,fruit,2.4
14:10,spices,1.0
14:11,checkout,1.6
14:11,dairy,4.2
14:11,drinks,3.0
14:11,fruit,2.4
14:11,spices,1.2
14:12,checkout,1.6
14:12,dairy,3.4
14:12,drinks,3.2
14:12,fruit,2.2
14:12,spices,1.6
14:13,checkout,2.2
14:13,dairy,3.4
14:13,drinks,2.4
14:13,fruit,1.8
14:13,spices,2.0
14:14,checkout,1.8
14:14,dairy,3.6
14:14,drinks,2.2
14:14,fruit,1.8
14:14,spices,0.6
14:15,checkout,1.6
14:15,dairy,3.2
14:15,drinks,1.6
14:15,fruit,1.6
14:15,spices,1.4
14:16,checkout,1.2
14:16,dairy,3.6
14:16,drinks,1.0
14:16,fruit,2.6
14:16,spices,1.8
14:17,checkout,1.2
14:17,dairy,3.8
14:17,drinks,1.0
14:17,fruit,2.8
14:17,spices,2.2
14:18,checkout,1.8
14:18,dairy,3.4
14:18,drinks,1.4
14:18,fruit,2.0
14:18,spices,1.4
14:19,checkout,0.8
14:19,dairy,4.0
14:19,drinks,1.6
14:19,fruit,1.4
14:19,spices,1.4
14:20,checkout,1.2
14:20,dairy,3.6
14:20,drinks,1.6
14:20,fruit,3.0
14:20,spices,1.6
14:21,checkout,1.8
14:21,dairy,3.6
14:21,drinks,2.6
14:21,fruit,2.4
14:21,spices,1.2
14:22,checkout,1.8
14:22,dairy,4.8
14:22,drinks,2.0
14:22,fruit,2.4
14:22,spices,1.8
14:23,checkout,1.4
14:23,dairy,4.8
14:23,drinks,1.8
14:23,fruit,3.2
14:23,spices,2.4
14:24,checkout,2.0
14:24,dairy,5.2
14:24,drinks,2.0
14:24,fruit,3.8
14:24,spices,1.0
14:25,checkout,1.8
14:25,dairy,5.2
14:25,drinks,1.2
14:25,fruit,3.8
14:25,spices,1.4
14:26,checkout,1.4
14:26,dairy,4.2
14:26,drinks,1.6
14:26,fruit,3.0
14:26,spices,1.4
14:27,checkout,2.2
14:27,dairy,3.8
14:27,drinks,1.6
14:27,fruit,2.2
14:27,spices,2.2
14:28,checkout,0.4
14:28,dairy,4.6
14:28,drinks,2.0
14:28,fruit,2.8
14:28,spices,2.0
14:29,checkout,1.8
14:29,dairy,4.6
14:29,drinks,1.8
14:29,fruit,2.8
14:29,spices,2.8
14:30,checkout,2.4
14:30,dairy,5.0
14:30,drinks,1.0
14:30,fruit,4.0
14:30,spices,2.2
14:31,checkout,2.0
14:31,dairy,5.0
14:31,drinks,1.6
14:31,fruit,3.8
14:31,spices,1.0
14:32,checkout,2.0
14:32,dairy,4.2
14:32,drinks,1.4
14:32,fruit,4.2
14:32,spices,0.6
14:33,checkout,2.4
14:33,dairy,4.6
14:33,drinks,2.0
14:33,fruit,2.2
14:33,spices,0.4
14:34,checkout,1.0
14:34,dairy,5.2
14:34,drinks,2.0
14:34,fruit,2.2
14:34,spices,1.0
14:35,checkout,1.0
14:35,dairy,4.4
14:35,drinks,1.6
14:35,fruit,3.4
14:35,spices,1.2
14:36,checkout,1.4
14:36,dairy,4.4
14:36,drinks,1.4
14:36,fruit,3.8
14:36,spices,1.2
14:37,checkout,2.4
14:37,dairy,4.0
14:37,drinks,1.4
14:37,fruit,1.8
14:37,spices,1.6
14:38,checkout,1.0
14:38,dairy,4.6
14:38,drinks,1.6
14:38,fruit,2.2
14:38,spices,3.0
14:39,checkout,2.2
14:39,dairy,4.4
14:39,drinks,1.8
14:39,fruit,2.0
14:39,spices,1.6
14:40,checkout,0.8
14:40,dairy,4.6
14:40,drinks,2.2
14:40,fruit,3.2
14:40,spices,2.8
14:41,checkout,0.8
14:41,dairy,5.4
14:41,drinks,2.2
14:41,fruit,3.2
14:41,spices,2.8
14:42,checkout,2.2
14:42,dairy,5.4
14:42,drinks,2.8
14:42,fruit,2.8
14:42,spices,1.4
14:43,checkout,1.2
14:43,dairy,6.6
14:43,drinks,3.0
14:43,fruit,2.8
14:43,spices,2.0
14:44,checkout,1.8
14:44,dairy,5.6
14:44,drinks,3.8
14:44,fruit,3.0
14:44,spices,2.6
14:45,checkout,1.6
14:45,dairy,4.8
14:45,drinks,2.4
